,0,1,2,3,4,5,6,7,8
0,0,25001,5,8,16,17,27,4,7
1,1,24152,1,2,7,8,31,2,10
2,2,24151,5,12,17,19,35,10,11
3,3,24150,4,11,23,25,34,5,7
4,4,24149,2,5,16,18,22,7,9
5,5,24148,6,9,20,32,35,8,11
6,6,24147,12,18,21,22,31,1,7
7,7,24146,5,20,21,22,32,3,4
8,8,24145,1,6,9,22,24,1,3
9,9,24144,6,7,8,21,30,1,5
10,10,24143,16,20,22,24,31,4,5
11,11,24142,8,21,24,33,34,3,10
12,12,24141,2,6,7,16,20,2,11
13,13,24140,3,6,15,23,31,1,12
14,14,24139,5,12,20,23,24,5,7
15,15,24138,5,17,20,28,34,4,9
16,16,24137,8,15,16,17,21,2,5
17,17,24136,1,17,20,29,34,7,8
18,18,24135,6,8,22,24,30,3,8
19,19,24134,1,4,7,13,33,5,6
20,20,24133,8,10,14,22,29,4,6
21,21,24132,5,6,10,16,31,6,9
22,22,24131,2,3,4,21,26,2,3
23,23,24130,11,21,25,31,32,4,10
24,24,24129,7,19,30,31,34,5,7
25,25,24128,3,7,10,29,31,1,3
26,26,24127,2,3,10,16,28,7,10
27,27,24126,2,10,17,28,34,7,8
28,28,24125,10,14,19,24,26,1,10
29,29,24124,2,3,7,10,25,1,11
30,30,24123,3,9,16,30,31,8,9
31,31,24122,5,6,9,15,17,3,10
32,32,24121,7,15,18,24,33,4,5
33,33,24120,4,12,17,23,27,2,8
34,34,24119,6,12,28,30,33,2,7
35,35,24118,1,3,9,16,19,5,11
36,36,24117,2,10,22,26,28,2,4
37,37,24116,1,3,6,16,25,1,11
38,38,24115,3,4,12,19,24,8,12
39,39,24114,12,27,30,34,35,5,11
40,40,24113,16,18,25,26,33,4,8
41,41,24112,5,15,24,31,34,3,10
42,42,24111,3,9,19,27,30,7,11
43,43,24110,1,7,8,18,28,4,12
44,44,24109,12,23,26,27,28,3,11
45,45,24108,16,17,21,31,34,3,8
46,46,24107,6,14,16,18,34,3,10
47,47,24106,5,11,19,22,29,2,12
48,48,24105,14,20,21,28,32,9,11
49,49,24104,1,4,9,13,17,6,9
50,50,24103,19,21,29,32,33,6,8
51,51,24102,1,5,9,14,20,5,11
52,52,24101,16,19,22,27,35,6,10
53,53,24100,2,12,19,22,32,5,11
54,54,24099,4,10,24,31,35,5,8
55,55,24098,3,10,15,19,29,9,10
56,56,24097,7,11,12,14,19,2,8
57,57,24096,2,3,23,27,31,1,10
58,58,24095,1,7,19,26,27,3,5
59,59,24094,12,13,24,29,31,2,8
60,60,24093,16,24,26,28,29,8,12
61,61,24092,2,4,25,26,31,1,6
62,62,24091,1,8,11,17,21,1,2
63,63,24090,2,3,6,28,33,7,11
64,64,24089,5,6,29,30,34,7,8
65,65,24088,1,2,23,28,32,3,5
66,66,24087,7,10,20,28,34,5,10
67,67,24086,11,12,14,22,28,7,11
68,68,24085,2,9,16,29,35,1,6
69,69,24084,4,11,16,17,23,5,10
70,70,24083,9,11,12,13,30,7,9
71,71,24082,8,21,23,24,26,4,5
72,72,24081,14,15,25,27,34,1,10
73,73,24080,3,5,24,27,28,9,11
74,74,24079,3,8,17,18,23,6,11
75,75,24078,5,7,10,14,15,4,7
76,76,24077,1,3,25,26,29,6,12
77,77,24076,1,6,22,27,35,7,12
78,78,24075,8,17,26,28,32,1,10
79,79,24074,2,10,11,21,27,9,11
80,80,24073,7,9,12,21,23,5,9
81,81,24072,4,17,21,23,32,1,6
82,82,24071,6,10,15,34,35,2,10
83,83,24070,4,20,21,32,34,2,9
84,84,24069,7,9,16,20,24,3,7
85,85,24068,15,20,31,32,33,5,10
86,86,24067,3,11,14,20,22,6,9
87,87,24066,13,19,20,24,25,6,7
88,88,24065,5,10,18,26,27,3,6
89,89,24064,5,12,21,32,33,8,9
90,90,24063,7,12,16,33,34,1,3
91,91,24062,5,14,15,16,33,3,5
92,92,24061,1,12,19,31,33,5,8
93,93,24060,3,21,25,28,30,1,12
94,94,24059,17,18,20,25,31,3,12
95,95,24058,6,10,13,20,32,1,2
96,96,24057,9,25,30,33,34,3,9
97,97,24056,16,17,18,27,35,6,12
98,98,24055,7,17,22,30,34,5,7
99,99,24054,5,6,9,11,22,1,3
100,100,24053,1,7,19,20,35,3,9
101,101,24052,2,3,13,22,34,4,8
102,102,24051,5,21,22,23,29,1,2
103,103,24050,3,4,14,18,26,7,9
104,104,24049,4,6,9,10,22,1,8
105,105,24048,12,18,21,26,28,8,9
106,106,24047,11,19,21,26,35,10,11
107,107,24046,6,12,17,29,30,7,11
108,108,24045,9,10,14,31,32,3,8
109,109,24044,3,13,15,17,22,6,10
110,110,24043,3,4,8,14,27,5,7
111,111,24042,1,8,15,23,35,5,12
112,112,24041,6,8,14,16,28,3,5
113,113,24040,5,12,16,29,30,3,6
114,114,24039,3,10,11,20,22,6,10
115,115,24038,15,22,24,25,29,1,5
116,116,24037,17,19,20,29,35,7,11
117,117,24036,2,5,11,32,34,6,10
118,118,24035,5,13,17,29,33,5,12
119,119,24034,23,26,27,29,33,5,8
120,120,24033,4,8,10,11,15,7,9
121,121,24032,5,15,26,33,35,1,9
122,122,24031,9,12,15,30,34,5,6
123,123,24030,8,9,11,19,30,6,12
124,124,24029,4,19,24,28,34,4,5
125,125,24028,13,18,20,26,28,4,8
126,126,24027,8,9,16,22,23,7,9
127,127,24026,1,18,21,26,33,2,12
128,128,24025,1,2,8,18,27,4,8
129,129,24024,3,5,12,17,26,1,12
130,130,24023,8,10,12,14,22,5,9
131,131,24022,7,9,11,31,32,4,8
132,132,24021,1,12,16,20,28,7,9
133,133,24020,2,4,8,19,26,2,6
134,134,24019,19,20,26,29,30,3,4
135,135,24018,4,12,19,25,27,1,9
136,136,24017,3,7,25,27,35,1,4
137,137,24016,15,18,25,27,29,6,11
138,138,24015,8,11,14,24,31,5,6
139,139,24014,4,5,16,21,31,9,11
140,140,24013,5,22,25,28,30,3,12
141,141,24012,21,22,25,26,34,1,9
142,142,24011,1,3,27,32,34,1,7
143,143,24010,2,8,10,15,27,2,8
144,144,24009,15,18,19,24,26,5,9
145,145,24008,4,6,11,20,30,3,5
146,146,24007,4,5,28,34,35,4,11
147,147,24006,8,13,16,17,33,2,10
148,148,24005,3,5,7,9,12,5,8
149,149,24004,2,6,18,19,27,8,9
150,150,24003,7,9,12,23,29,1,2
151,151,24002,1,6,8,27,32,3,4
